rssd_id,total_equity_capital,total_equity_capital_usd,bank_name
593333,11845.0,11845000.0,"FIRST NATIONAL BANK OF ARENZVILLE, THE"
19356,11816.0,11816000.0,SECURITY BANK AND TRUST COMPANY
293754,11816.0,11816000.0,STATE BANK OF SOUTHWEST MISSOURI
91615,11797.0,11797000.0,"ANTWERP EXCHANGE BANK COMPANY, THE"
173959,11768.0,11768000.0,"FIRST NATIONAL BANK OF HEBBRONVILLE, THE"
269571,11764.0,11764000.0,ARMSTRONG COUNTY BUILDING AND LOAN ASSOCIATION
485139,11757.0,11757000.0,STATE BANK & TRUST COMPANY
382854,11716.0,11716000.0,SECURITY BANK OF PULASKI COUNTY
5805488,11708.0,11708000.0,"INSPIRE TRUST COMPANY, NATIONAL ASSOCIATION"
1009840,11704.0,11704000.0,MAYNARD SAVINGS BANK
3394380,11697.0,11697000.0,"CALIFORNIA INTERNATIONAL BANK, N.A."
368344,11692.0,11692000.0,FARMERS SAVINGS BANK & TRUST
500658,11686.0,11686000.0,PAVILLION BANK
911759,11680.0,11680000.0,NEBRASKA STATE BANK
164975,11648.0,11648000.0,STOUGHTON CO-OPERATIVE BANK
660066,11644.0,11644000.0,PEOPLES STATE BANK
743950,11607.0,11607000.0,FARMERS BANK OF LOHMAN
122153,11591.0,11591000.0,JACKSON PARISH BANK
954158,11560.0,11560000.0,FARMERS & MERCHANTS BANK OF NORTH DAKOTA
504142,11508.0,11508000.0,CHILLICOTHE STATE BANK
772754,11506.0,11506000.0,METZ BANKING COMPANY
884376,11506.0,11506000.0,"PICKENS SAVINGS AND LOAN ASSOCIATION, FEDERAL ASSOCIATION"
211851,11504.0,11504000.0,"SECURITY STATE BANK OF WANAMINGO, INCORPORATED"
14977,11494.0,11494000.0,"FIRST FEDERAL BANK LITTLEFIELD, TEXAS, SSB"
236256,11480.0,11480000.0,BANK OF BROOKFIELD-PURDIN NATIONAL ASSOCIATION
803256,11456.0,11456000.0,TRIUMPH STATE BANK
761833,11453.0,11453000.0,COMMUNITY BANK & TRUST - WEST GEORGIA
830252,11449.0,11449000.0,"LYTLE STATE BANK OF LYTLE, TEXAS, THE"
7456,11447.0,11447000.0,BANK OF HARTINGTON
818652,11445.0,11445000.0,STOCKMENS NATIONAL BANK IN COTULLA
1002458,11442.0,11442000.0,SICILY ISLAND STATE BANK
874452,11435.0,11435000.0,STATE BANK OF NEW RICHLAND
1418255,11433.0,11433000.0,TUSTIN COMMUNITY BANK
164153,11389.0,11389000.0,LAKE REGION BANK
148920,11378.0,11378000.0,"REPUBLIC BANKING COMPANY, THE"
560830,11365.0,11365000.0,"GRANVILLE NATIONAL BANK, THE"
644141,11364.0,11364000.0,KALAMAZOO COUNTY STATE BANK
3223408,11354.0,11354000.0,HOMELAND COMMUNITY BANK
