"IDRSSD"	RCFD2143	RCFD2150	RCFD2651	RCFD3163	RCFD3164	RCFD3190	RCFD4088	RCFD6164	RCFD6165	RCFDA590	RCFDB569	RCFDB570	RCFDB571	RCFDF055	RCFDF056	RCFDF057	RCFDF058	RCFDF059	RCFDF060	RCFDF061	RCFDF062	RCFDF063	RCFDF065	RCFDJA29	RCFDJF76	RCFDK192	RCFDK193	RCFDK194	RCFN5513	RCON2143	RCON2150	RCON2651	RCON3163	RCON3164	RCON3190	RCON4088	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB569	RCONB570	RCONB571	RCONF055	RCONF056	RCONF057	RCONF058	RCONF059	RCONF060	RCONF061	RCONF062	RCONF063	RCONF064	RCONF065	RCONG463	RCONG464	RCONJA29	RCONJF76	RCONK192	RCONK193	RCONK194	RCONL133	RCONL135	RCONLG26	RCONLG27	RCONLG28	RCONLL57	RCONLL59	RCONLL60	RCONMM07	RCONMQ52	RCONN523	RCONN524	TE01N528	TE01N529	TE02N528	TE02N529	TE03N528	TE03N529	TE04N528	TE04N529	TE05N528	TE05N529	TE06N528	TE06N529	TE07N528	TE08N528	TE09N528	TE10N528	TEXT4087	
294023																														1403	65	950	314	806	1067		0	0	65	0	0	288	0	806			0	950	0	0	117	0	0	0	0	0	0	0				283						0	0	0	0	0	0																					www.fsb4me.com	
294751																														0	9068	0	0	0	2703		7676	0	204	0	1188	153	0	0	false	0	2703	0	0	0	0	0	2703	0	0	0	0	0	false	false		0	0					0	0	0	0	0	0																					www.cnb1901.com	
294779																														15975	221	20000	15131	641	20000		0	0	0	0	221	446	0	4711	true	2892	0	20000	0	0	0	0	0	0	0	0	0	0	true	false		203	0					1	5	0	0	0	0																					http://www.timberlandbank.com	
294827																														0	264	5000	0	0	5000		0	0	39	0	225	1054	0	0			0	5000	0	0	0	0	0	0	0	0	0	0				0						0	0	0	0	0	0					www.pioneercb.com																www.pioneercommunitybank.com	
295011																														967	0	46	0	967	2028		0	0	0	0	0	4210	2	967	false	0	0	46	538	0	1444	0	0	0	0	0	0	0	true	false	0	0	0					0	0	0	0	0	0					www.greenvillenationalbank.com																www.bankgnb.bank	
295057																														0	0	0	0	0	64		0	0	0	0	0	1	0	0			0	0	0	0	0	0	0	0	0	64	0	0				0						0	0	0	0	0	0																					http://www.securitybankmn.com	
295646																														0	0	0	0	0	0		0	0	0	0	0	560	0	0			0	0	0	0	0	0	0	0	0	0	0	0			0	0						0	0	0	0	0	0																						
296456																														8219	414	0	7841	0	1317		0	0	414	0	0	2779	2	0			0	0	0	0	0	0	0	0	879	438	0	1317			0	378						0	0	0	0	0	0																					www.firstbank-ok.com	
296474																														591	0	2000	0	0	8552		0	0	0	0	0	858	0	0			0	2000	1571	3000	1981	0	0	0	0	0	0	0			24	591						0	0	0	0	0	0																					www.hslc.bank	
296559																														0	0	0	0	0	0		0	0	0	0	0	5164	6	0			0	0	0	0	0	0	0	0	0	0	0	0			1757	0						0	0	0	0	0	0																					commercialbank.net	
296755																														0	0	0	0	0	0		0	0	0	0	0	1417	0	0			0	0	0	0	0	0	0	0	0	0	0	0				0						0	0	0	0	0	0																					www.citizensstatebk.com	
297051																														0	0	1000	0	0	5000		0	0	0	0	0	1005	0	0			0	1000	4000	0	0	0	0	0	0	0	0	0			0	0						0	0	0	0	0	0																					http://www.patriotsbank.com	
297761																														9152	3654	35000	4605	0	41412		3654	0	0	0	0	0	0	0			0	35200	5000	0	1000	0	0	212	0	0	0	0			0	4547						0	0	0	0	0	0																					http://montereycountybank.com	
298049																														1100	725	0	1100	0	0		0	725	0	0	0	3172	1	0			0	0	0	0	0	0	0	0	0	0	0	0				0						0	0	0	0	0	0																					https://www.myisb.bank	
298218																														12572	70	0	12572	0	0		0	0	70	0	0	1216	0	0			0	0	0	0	0	0	0	0	0	0	0	0			10183	0						1	3	0	0	0	0																					www.watersavingsbank.com	
298245																														0	119	0	0	0	42000		0	0	119	0	0	2727	2	0	false	0	0	0	25000	17000	0	0	0	0	0	0	0	0	true	false		0	0					0	0	0	0	0	0																					https://www.cnb-metropolis.com	
299868																														0	2697	16500	0	0	27140		0	0	0	0	2697	0	0	0			0	16640	10500	0	0	0	0	0	0	0	0	0			0	0						0	0	0	0	0	0																					www.ccombank.com	
300009																														14486	5300	22000	14186	300	44237		0	0	1300	0	4000	1490	1	990			0	22000	19810	1801	626	0	0	0	0	0	0	0			0	0						0	0	0	0	0	0																					http://www.passumpsicbank.com	
300063																														860	0	0	0	0	0		0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0				860						0	0	0	0	0	0																					WWW.NEWOMNIBANK.COM	
300353																														0	0	0	0	0	0		0	0	0	0	0	151	0	0			0	0	0	0	0	0	0	0	0	0	0	0				0						0	0	0	0	0	0																					www.shamrockbank.com	
300933																														0	0	0	0	0	0		0	0	0	0	0	319	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	2	0	0					0	0	0	0	0	0																					www.plantersfirst.bank	
300942																														0	0	0	0	0	2100		0	0	0	0	0	7985	4	0	true	0	0	0	0	0	0	0	0	0	0	2100	0	2100	true	false		0	0					0	0	0	0	0	0																					www.pioneerbanks.com	
301574																														159	0	0	0	159	5212		0	0	0	0	0	223	0	159			191	0	0	0	0	0	191	319	204	4498	0	5212			0	0						0	0	0	0	0	0																					www.mylsbank.com	
301800																														6852	0	10034	2360	4492	12007		0	0	0	0	0	77	0	10360	true	169556	0	10034	1973	0	0	0	0	0	0	0	0	0	false	false		0	0					0	0	0	0	0	0																					www.ulstersavings.com	
302030																														0	0	0	0	0	0		0	0	0	0	0	2702	2	0			0	0	0	0	0	0	0	0	0	0	0	0				0						0	0	0	0	0	0																					http://www.bankofbelleglade.com	
302133																														635	16	4000	592	0	9020		0	0	16	0	0	0	0	0			0	4000	5020	0	0	0	0	0	0	0	0	0				43						0	0	0	0	0	0																					www.campgrovestatebank.com	
302553																														4720	443	2046	3838	0	8546		0	0	443	0	0	1265	1	0			0	2046	6495	0	0	2500	0	5	0	0	0	5			0	882						0	0	0	0	0	0																					www.bankoftheplains.com	
302656																														42287	6713	4055	35442	5901	10710		0	139	0	0	6574	51707	5	5901	false	0	0	4055	4180	0	0	0	0	1329	760	386	0	0	true	false	0	944	0					0	0	0	0	0	0																					www.minnwestbank.com	
303653																														0	0	0	0	0	0		0	0	0	0	0	594	1	0			0	0	0	0	0	0	0	0	0	0	0	0				0						0	0	0	0	0	0																					http://https://www.fsbburnet.com	
303701																														0	0	4000	0	0	5095		0	0	0	0	0	168	0	0			0	4000	0	0	1095	0	0	0	0	0	0	0			0	0						4	3	0	0	0	0																					www.wellsriversavings.com	
303747																														0	3285	0	0	0	0		0	0	383	2309	593	276	0	0			0	0	0	0	0	0	0	0	0	0	0	0				0						0	0	0	0	0	0																					www.fb-t.com	
